Date,Transit Agency,Location,Type,Amount
1/6/2024 2:12:25 PM,Toronto Transit Commission,Victoria Park Ave At Navaho Dr,Fare Payment,-$2.35
1/6/2024 5:20:47 PM,Toronto Transit Commission,UNION STATION,Fare Payment,-$2.35
1/6/2024 10:31:25 PM,Toronto Transit Commission,Queen St West At Bay St,Fare Payment,-$2.35
1/17/2024 3:22:28 PM,Toronto Transit Commission,Victoria Park Ave At Pawnee Ave,Fare Payment,-$2.35
1/20/2024 2:41:06 PM,Toronto Transit Commission,Victoria Park Ave At Navaho Dr,Fare Payment,-$2.35
1/20/2024 6:35:47 PM,Toronto Transit Commission,Dundas St East At Yonge St (Dundas Station),Fare Payment,-$2.35
1/20/2024 9:37:40 PM,Toronto Transit Commission,DUNDAS STATION,Fare Payment,-$2.35
2/3/2024 2:09:41 PM,Toronto Transit Commission,Victoria Park Ave At Navaho Dr,Fare Payment,-$2.35
2/3/2024 7:41:27 PM,Toronto Transit Commission,Dundas St West At McCaul St,Fare Payment,-$2.35
2/8/2024 3:30:07 PM,Toronto Transit Commission,Finch Ave East At Cherokee Blvd,Fare Payment,-$2.35
2/15/2024 4:27:33 PM,Toronto Transit Commission,Finch Ave East At Cherokee Blvd,Fare Payment,-$2.35
2/18/2024 2:15:51 PM,Toronto Transit Commission,Victoria Park Ave At Navaho Dr,Fare Payment,-$2.35
2/24/2024 2:11:01 PM,Toronto Transit Commission,Victoria Park Ave At Navaho Dr,Fare Payment,-$2.35
2/24/2024 6:59:46 PM,Toronto Transit Commission,Queen St West At Augusta Ave,Fare Payment,-$2.35
2/24/2024 9:58:16 PM,Toronto Transit Commission,DUNDAS STATION,Fare Payment,-$2.35
2/29/2024 4:31:20 PM,Toronto Transit Commission,Victoria Park Ave At Pawnee Ave,Fare Payment,-$2.35
3/2/2024 2:10:08 PM,Toronto Transit Commission,Victoria Park Ave At Pawnee Ave,Fare Payment,-$2.35
3/2/2024 3:38:23 PM,Go Transit,Union Station Rail,Fare Payment,-$1.23
3/2/2024 3:52:28 PM,Go Transit,Exhibition GO Station Rail,Fare Payment,$0.94
3/2/2024 6:37:52 PM,Toronto Transit Commission,Exhibition Loop At Manitoba Dr,Fare Payment,-$0.00
3/2/2024 9:44:28 PM,Toronto Transit Commission,DUNDAS STATION,Fare Payment,-$2.35
3/7/2024 5:02:02 PM,Toronto Transit Commission,Finch Ave East At Cherokee Blvd,Fare Payment,-$2.35
3/14/2024 5:00:28 PM,Toronto Transit Commission,Finch Ave East At Cherokee Blvd,Fare Payment,-$2.35
3/16/2024 2:10:16 PM,Toronto Transit Commission,Victoria Park Ave At Pawnee Ave,Fare Payment,-$2.35
3/16/2024 6:15:43 PM,Toronto Transit Commission,DUNDAS STATION,Fare Payment,-$2.35
3/16/2024 9:26:03 PM,Toronto Transit Commission,MAIN STREET STATION,Fare Payment,-$2.35
3/21/2024 3:57:58 PM,Toronto Transit Commission,Victoria Park Ave At Morecambe Gate,Fare Payment,-$2.35
3/23/2024 2:18:05 PM,Toronto Transit Commission,Victoria Park Ave At Navaho Dr,Fare Payment,-$2.35
3/23/2024 6:09:02 PM,Toronto Transit Commission,Dundas St West At Bay St,Fare Payment,-$2.35
3/23/2024 8:26:29 PM,Toronto Transit Commission,OSSINGTON STATION,Fare Payment,-$2.35
3/28/2024 5:22:42 PM,Toronto Transit Commission,Finch Ave East At Cherokee Blvd,Fare Payment,-$2.35
4/4/2024 4:53:23 PM,Toronto Transit Commission,Finch Ave East At Cherokee Blvd,Fare Payment,-$2.35
4/6/2024 4:12:47 PM,Toronto Transit Commission,Finch Ave East At Victoria Park Ave,Fare Payment,-$2.35
4/6/2024 6:37:59 PM,Toronto Transit Commission,Dundas St West At Shaw St,Fare Payment,-$2.35
